Obs,Stp,Exp,Res,Var,StRes,Wt,LProb,Measure,Displ,Status,MPCat,E1,E2,E3,M1,M2,M3,text_id,rater_id,band
49,49,51.97,-2.97,18.35,-0.69,1,-5.39,-0.5,-0.16,1,53,8,44,5,-0.45,0,0.05,Text8,R44,HOL
53,53,64.13,-11.13,26.73,-2.15,1,-3.32,0.01,-0.42,1,63,17,44,1,0.01,0,-0.01,Text17,R44,TR
57,57,62.2,-5.2,26.14,-1.02,1,-2.47,-0.06,-0.2,1,63,17,44,2,0.01,0,0.07,Text17,R44,CC
57,57,68.84,-11.84,28.81,-2.21,1,-4.51,0.18,-0.41,1,73,17,44,3,0.01,0,-0.17,Text17,R44,LR
50,50,62.3,-12.3,26.15,-2.41,1,-4.43,-0.06,-0.47,1,63,17,44,4,0.01,0,0.06,Text17,R44,GRA
51,51,62.6,-11.6,26.18,-2.27,1,-7.23,-0.05,-0.44,1,63,17,44,5,0.01,0,0.05,Text17,R44,HOL
53,53,46.64,6.36,23.63,1.31,1,-1.86,-0.75,0.27,1,43,5,45,1,-0.76,0,-0.01,Text5,R45,TR
53,53,44.91,8.09,23.57,1.67,1,-2.39,-0.83,0.34,1,43,5,45,2,-0.76,0,0.07,Text5,R45,CC
63,63,50.3,12.7,19.52,2.87,1,-4.86,-0.59,0.65,1,53,5,45,3,-0.76,0,-0.17,Text5,R45,LR
53,53,44.99,8.01,23.61,1.65,1,-2.36,-0.82,0.34,1,43,5,45,4,-0.76,0,0.06,Text5,R45,GRA
55,55,45.27,9.73,23.7,2,1,-5.61,-0.81,0.41,1,43,5,45,5,-0.76,0,0.05,Text5,R45,HOL
73,73,59.31,13.69,26.48,2.66,1,-4.51,-0.17,0.52,1,63,20,45,1,-0.18,0,-0.01,Text20,R45,TR
63,63,57.39,5.61,25.64,1.11,1,-1.66,-0.24,0.22,1,53,20,45,2,-0.18,0,0.07,Text20,R45,CC
