Obs,Stp,Exp,Res,Var,StRes,Wt,LProb,Measure,Displ,Status,MPCat,E1,E2,E3,M1,M2,M3,text_id,rater_id,band
65,65,63.53,1.47,26.44,0.29,1,-3.31,-0.01,0.06,1,63,13,4,5,0.04,0,0.05,Text13,R4,HOL
83,83,76.15,6.85,29.08,1.27,1,-1.86,0.44,0.24,1,73,29,4,1,0.43,0,-0.01,Text29,R4,TR
83,83,74.07,8.93,28.07,1.69,1,-2.44,0.37,0.32,1,73,29,4,2,0.43,0,0.07,Text29,R4,CC
83,83,81.1,1.9,28.76,0.35,1,-1.13,0.61,0.07,1,83,29,4,3,0.43,0,-0.17,Text29,R4,LR
83,83,74.17,8.83,28.11,1.67,1,-2.4,0.37,0.31,1,73,29,4,4,0.43,0,0.06,Text29,R4,GRA
81,81,74.5,6.5,28.24,1.22,1,-4.05,0.38,0.23,1,73,29,4,5,0.43,0,0.05,Text29,R4,HOL
43,43,51.78,-8.78,18.35,-2.05,1,-2.97,-0.51,-0.48,1,53,6,5,1,-0.51,0,-0.01,Text6,R5,TR
53,53,50.41,2.59,19.38,0.59,1,-1.1,-0.58,0.13,1,53,6,5,2,-0.51,0,0.07,Text6,R5,CC
53,53,55.09,-2.09,22.37,-0.44,1,-1.02,-0.34,-0.09,1,53,6,5,3,-0.51,0,-0.17,Text6,R5,LR
50,50,50.49,-0.49,19.29,-0.11,1,-1.35,-0.58,-0.03,1,53,6,5,4,-0.51,0,0.06,Text6,R5,GRA
45,45,50.71,-5.71,19.04,-1.31,1,-3.51,-0.56,-0.3,1,53,6,5,5,-0.51,0,0.05,Text6,R5,HOL
73,73,66.61,6.39,28.3,1.2,1,-1.76,0.1,0.23,1,63,11,5,1,0.1,0,-0.01,Text11,R5,TR
60,60,64.59,-4.59,27,-0.88,1,-2.14,0.03,-0.17,1,63,11,5,2,0.1,0,0.07,Text11,R5,CC
63,63,71.41,-8.41,28.11,-1.59,1,-2.31,0.27,-0.3,1,73,11,5,3,0.1,0,-0.17,Text11,R5,LR
60,60,64.69,-4.69,27.07,-0.9,1,-2.16,0.03,-0.17,1,63,11,5,4,0.1,0,0.06,Text11,R5,GRA
54,54,65,-11,27.28,-2.11,1,-6.84,0.04,-0.4,1,63,11,5,5,0.1,0,0.05,Text11,R5,HOL
83,83,83.25,-0.25,27.06,-0.05,1,-1.06,0.68,-0.01,1,83,27,5,1,0.68,0,-0.01,Text27,R5,TR
63,63,81.21,-18.21,28.67,-3.4,1,-6.81,0.61,-0.64,1,83,27,5,2,0.68,0,0.07,Text27,R5,CC
87,87,87.51,-0.51,23.51,-0.11,1,-1.52,0.85,-0.02,1,83,27,5,3,0.68,0,-0.17,Text27,R5,LR
70,70,81.32,-11.32,28.6,-2.12,1,-4.34,0.61,-0.4,1,83,27,5,4,0.68,0,0.06,Text27,R5,GRA
75,75,81.65,-6.65,28.35,-1.25,1,-4.89,0.63,-0.23,1,83,27,5,5,0.68,0,0.05,Text27,R5,HOL
43,43,49.25,-6.25,21,-1.36,1,-1.99,-0.64,-0.3,1,53,2,6,1,-0.64,0,-0.01,Text2,R6,TR
53,53,47.63,5.37,22.98,1.12,1,-1.61,-0.71,0.23,1,50,2,6,2,-0.64,0,0.07,Text2,R6,CC
53,53,52.46,0.54,18.5,0.13,1,-0.93,-0.47,0.03,1,53,2,6,3,-0.64,0,-0.17,Text2,R6,LR
43,43,47.72,-4.72,22.89,-0.99,1,-1.6,-0.71,-0.21,1,50,2,6,4,-0.64,0,0.06,Text2,R6,GRA
45,45,47.98,-2.98,22.63,-0.63,1,-2.93,-0.7,-0.13,1,50,2,6,5,-0.64,0,0.05,Text2,R6,HOL
63,63,67.3,-4.3,28.6,-0.8,1,-1.39,0.13,-0.15,1,63,14,6,1,0.12,0,-0.01,Text14,R6,TR
63,63,65.25,-2.25,27.44,-0.43,1,-1.15,0.05,-0.08,1,63,14,6,2,0.12,0,0.07,Text14,R6,CC
63,63,72.09,-9.09,27.94,-1.72,1,-2.52,0.29,-0.33,1,73,14,6,3,0.12,0,-0.17,Text14,R6,LR
63,63,65.35,-2.35,27.51,-0.45,1,-1.16,0.06,-0.09,1,63,14,6,4,0.12,0,0.06,Text14,R6,GRA
60,60,65.67,-5.67,27.73,-1.08,1,-2.35,0.07,-0.2,1,63,14,6,5,0.12,0,0.05,Text14,R6,HOL
73,73,86.16,-13.16,24.85,-2.64,1,-4.18,0.8,-0.53,1,83,30,6,1,0.79,0,-0.01,Text30,R6,TR
83,83,84.29,-1.29,26.26,-0.25,1,-1.09,0.72,-0.05,1,83,30,6,2,0.79,0,0.07,Text30,R6,CC
83,83,89.92,-6.92,19.26,-1.58,1,-2.12,0.96,-0.36,1,93,30,6,3,0.79,0,-0.17,Text30,R6,LR
83,83,84.39,-1.39,26.18,-0.27,1,-1.1,0.73,-0.05,1,83,30,6,4,0.79,0,0.06,Text30,R6,GRA
76,76,84.69,-8.69,25.96,-1.71,1,-4.78,0.74,-0.33,1,83,30,6,5,0.79,0,0.05,Text30,R6,HOL
53,53,49.47,3.53,20.67,0.78,1,-1.24,-0.63,0.17,1,53,4,7,1,-0.63,0,-0.01,Text4,R7,TR
43,43,47.88,-4.88,22.74,-1.02,1,-1.64,-0.7,-0.21,1,50,4,7,2,-0.63,0,0.07,Text4,R7,CC
43,43,52.66,-9.66,18.64,-2.24,1,-3.41,-0.46,-0.52,1,53,4,7,3,-0.63,0,-0.17,Text4,R7,LR
47,47,47.97,-0.97,22.65,-0.2,1,-2.15,-0.7,-0.04,1,50,4,7,4,-0.63,0,0.06,Text4,R7,GRA
48,48,48.23,-0.23,22.35,-0.05,1,-3.48,-0.68,-0.01,1,50,4,7,5,-0.63,0,0.05,Text4,R7,HOL
67,67,63.9,3.1,26.6,0.6,1,-1.92,0,0.12,1,63,18,7,1,0,0,-0.01,Text18,R7,TR
63,63,61.97,1.03,26.14,0.2,1,-1.08,-0.07,0.04,1,63,18,7,2,0,0,0.07,Text18,R7,CC
73,73,68.58,4.42,28.82,0.82,1,-1.39,0.17,0.15,1,73,18,7,3,0,0,-0.17,Text18,R7,LR
63,63,62.07,0.93,26.14,0.18,1,-1.08,-0.07,0.04,1,63,18,7,4,0,0,0.06,Text18,R7,GRA
68,68,62.37,5.63,26.15,1.1,1,-4.71,-0.05,0.22,1,63,18,7,5,0,0,0.05,Text18,R7,HOL
83,83,85.5,-2.5,25.36,-0.5,1,-1.18,0.77,-0.1,1,83,21,7,1,0.76,0,-0.01,Text21,R7,TR
83,83,83.59,-0.59,26.79,-0.11,1,-1.07,0.7,-0.02,1,83,21,7,2,0.76,0,0.07,Text21,R7,CC
87,87,89.4,-2.4,20.43,-0.53,1,-1.65,0.94,-0.12,1,93,21,7,3,0.76,0,-0.17,Text21,R7,LR
83,83,83.69,-0.69,26.71,-0.13,1,-1.07,0.7,-0.03,1,83,21,7,4,0.76,0,0.06,Text21,R7,GRA
90,90,84,6,26.48,1.17,1,-2.67,0.71,0.23,1,83,21,7,5,0.76,0,0.05,Text21,R7,HOL
60,60,47.94,12.06,22.68,2.53,1,-5.27,-0.7,0.53,1,50,31,8,2,-0.63,0,0.07,Text31,R8,CC
60,60,52.71,7.29,18.68,1.69,1,-2.96,-0.46,0.39,1,53,31,8,3,-0.63,0,-0.17,Text31,R8,LR
57,57,48.02,8.98,22.59,1.89,1,-3.96,-0.69,0.4,1,50,31,8,4,-0.63,0,0.06,Text31,R8,GRA
55,55,48.28,6.72,22.29,1.42,1,-4.55,-0.68,0.3,1,50,31,8,5,-0.63,0,0.05,Text31,R8,HOL
87,87,69.47,17.53,28.71,3.27,1,-6.92,0.2,0.61,1,73,19,8,1,0.2,0,-0.01,Text19,R8,TR
80,80,67.36,12.64,28.62,2.36,1,-5.12,0.13,0.44,1,63,19,8,2,0.2,0,0.07,Text19,R8,CC
77,77,74.19,2.81,28.12,0.53,1,-1.92,0.37,0.1,1,73,19,8,3,0.2,0,-0.17,Text19,R8,LR
67,67,67.47,-0.47,28.66,-0.09,1,-1.75,0.13,-0.02,1,63,19,8,4,0.2,0,0.06,Text19,R8,GRA
71,71,67.8,3.2,28.74,0.6,1,-3.61,0.14,0.11,1,63,19,8,5,0.2,0,0.05,Text19,R8,HOL
87,87,79.03,7.97,29.72,1.46,1,-2.64,0.54,0.27,1,83,22,8,1,0.53,0,-0.01,Text22,R8,TR
80,80,76.86,3.14,29.41,0.58,1,-2.48,0.46,0.11,1,73,22,8,2,0.53,0,0.07,Text22,R8,CC
90,90,83.8,6.2,26.63,1.2,1,-2.72,0.7,0.23,1,83,22,8,3,0.53,0,-0.17,Text22,R8,LR
87,87,76.97,10.03,29.45,1.85,1,-3.27,0.47,0.34,1,73,22,8,4,0.53,0,0.06,Text22,R8,GRA
81,81,77.31,3.69,29.58,0.68,1,-3.56,0.48,0.12,1,73,22,8,5,0.53,0,0.05,Text22,R8,HOL
53,53,51.27,1.73,18.55,0.4,1,-1,-0.53,0.09,1,53,7,9,1,-0.54,0,-0.01,Text7,R9,TR
53,53,49.87,3.13,20.11,0.7,1,-1.18,-0.61,0.16,1,53,7,9,2,-0.54,0,0.07,Text7,R9,CC
53,53,54.49,-1.49,21.27,-0.32,1,-0.97,-0.37,-0.07,1,53,7,9,3,-0.54,0,-0.17,Text7,R9,LR
43,43,49.94,-6.94,20,-1.55,1,-2.21,-0.6,-0.35,1,53,7,9,4,-0.54,0,0.06,Text7,R9,GRA
50,50,50.17,-0.17,19.69,-0.04,1,-1.35,-0.59,-0.01,1,53,7,9,5,-0.54,0,0.05,Text7,R9,HOL
63,63,65.33,-2.33,27.49,-0.44,1,-1.16,0.06,-0.08,1,63,32,9,1,0.05,0,-0.01,Text32,R9,TR
63,63,63.36,-0.36,26.37,-0.07,1,-1.06,-0.02,-0.01,1,63,32,9,2,0.05,0,0.07,Text32,R9,CC
53,53,70.11,-17.11,28.54,-3.2,1,-6.3,0.22,-0.6,1,73,32,9,3,0.05,0,-0.17,Text32,R9,LR
53,53,63.46,-10.46,26.41,-2.04,1,-3.04,-0.01,-0.4,1,63,32,9,4,0.05,0,0.06,Text32,R9,GRA
50,50,63.77,-13.77,26.54,-2.67,1,-5.16,0,-0.52,1,63,32,9,5,0.05,0,0.05,Text32,R9,HOL
83,83,83.58,-0.58,26.8,-0.11,1,-1.07,0.7,-0.02,1,83,24,9,1,0.69,0,-0.01,Text24,R9,TR
83,83,81.56,1.44,28.42,0.27,1,-1.1,0.62,0.05,1,83,24,9,2,0.69,0,0.07,Text24,R9,CC
73,73,87.79,-14.79,23.15,-3.07,1,-5.13,0.86,-0.64,1,87,24,9,3,0.69,0,-0.17,Text24,R9,LR
83,83,81.67,1.33,28.34,0.25,1,-1.09,0.63,0.05,1,83,24,9,4,0.69,0,0.06,Text24,R9,GRA
80,80,81.99,-1.99,28.08,-0.38,1,-2.39,0.64,-0.07,1,83,24,9,5,0.69,0,0.05,Text24,R9,HOL
57,57,53.04,3.96,19.01,0.91,1,-2.33,-0.44,0.21,1,53,8,10,1,-0.45,0,-0.01,Text8,R10,TR
57,57,51.69,5.31,18.37,1.24,1,-2.67,-0.51,0.29,1,53,8,10,2,-0.45,0,0.07,Text8,R10,CC
60,60,56.7,3.3,24.9,0.66,1,-1.96,-0.27,0.13,1,53,8,10,3,-0.45,0,-0.17,Text8,R10,LR
50,50,51.76,-1.76,18.36,-0.41,1,-1.43,-0.51,-0.1,1,53,8,10,4,-0.45,0,0.06,Text8,R10,GRA
52,52,51.97,0.03,18.35,0.01,1,-5.24,-0.5,0,1,53,8,10,5,-0.45,0,0.05,Text8,R10,HOL
63,63,64.13,-1.13,26.73,-0.22,1,-1.08,0.01,-0.04,1,63,17,10,1,0.01,0,-0.01,Text17,R10,TR
63,63,62.2,0.8,26.14,0.16,1,-1.07,-0.06,0.03,1,63,17,10,2,0.01,0,0.07,Text17,R10,CC
73,73,68.84,4.16,28.81,0.78,1,-1.35,0.18,0.14,1,73,17,10,3,0.01,0,-0.17,Text17,R10,LR
67,67,62.3,4.7,26.15,0.92,1,-2.16,-0.06,0.18,1,63,17,10,4,0.01,0,0.06,Text17,R10,GRA
64,64,62.6,1.4,26.18,0.27,1,-4.55,-0.05,0.05,1,63,17,10,5,0.01,0,0.05,Text17,R10,HOL
80,80,76.03,3.97,29.01,0.74,1,-2.58,0.43,0.14,1,73,25,10,1,0.43,0,-0.01,Text25,R10,TR
77,77,73.95,3.05,28.04,0.58,1,-1.94,0.36,0.11,1,73,25,10,2,0.43,0,0.07,Text25,R10,CC
80,80,80.98,-0.98,28.84,-0.18,1,-2.33,0.6,-0.03,1,83,25,10,3,0.43,0,-0.17,Text25,R10,LR
77,77,74.06,2.94,28.07,0.56,1,-1.93,0.37,0.1,1,73,25,10,4,0.43,0,0.06,Text25,R10,GRA
71,71,74.38,-3.38,28.19,-0.64,1,-3.64,0.38,-0.12,1,73,25,10,5,0.43,0,0.05,Text25,R10,HOL
53,53,49.36,3.64,20.84,0.8,1,-1.26,-0.63,0.17,1,53,1,11,1,-0.64,0,-0.01,Text1,R11,TR
47,47,47.76,-0.76,22.86,-0.16,1,-2.14,-0.71,-0.03,1,50,1,11,2,-0.64,0,0.07,Text1,R11,CC
53,53,52.56,0.44,18.57,0.1,1,-0.92,-0.46,0.02,1,53,1,11,3,-0.64,0,-0.17,Text1,R11,LR
50,50,47.84,2.16,22.77,0.45,1,-1.45,-0.7,0.09,1,50,1,11,4,-0.64,0,0.06,Text1,R11,GRA
45,45,48.1,-3.1,22.5,-0.65,1,-2.95,-0.69,-0.14,1,50,1,11,5,-0.64,0,0.05,Text1,R11,HOL
63,63,59.31,3.69,26.48,0.72,1,-1.32,-0.17,0.14,1,63,20,11,1,-0.18,0,-0.01,Text20,R11,TR
63,63,57.39,5.61,25.64,1.11,1,-1.66,-0.24,0.22,1,53,20,11,2,-0.18,0,0.07,Text20,R11,CC
67,67,63.73,3.27,26.52,0.64,1,-1.95,0,0.12,1,63,20,11,3,-0.18,0,-0.17,Text20,R11,LR
63,63,57.49,5.51,25.73,1.09,1,-1.64,-0.24,0.21,1,53,20,11,4,-0.18,0,0.06,Text20,R11,GRA
61,61,57.79,3.21,25.96,0.63,1,-4.28,-0.23,0.12,1,53,20,11,5,-0.18,0,0.05,Text20,R11,HOL
73,73,72.02,0.98,27.95,0.18,1,-1.06,0.29,0.03,1,73,28,11,1,0.29,0,-0.01,Text28,R11,TR
73,73,69.96,3.04,28.59,0.57,1,-1.21,0.22,0.11,1,73,28,11,2,0.29,0,0.07,Text28,R11,CC
83,83,76.78,6.22,29.38,1.15,1,-1.72,0.46,0.21,1,73,28,11,3,0.29,0,-0.17,Text28,R11,LR
73,73,70.06,2.94,28.55,0.55,1,-1.2,0.22,0.1,1,73,28,11,4,0.29,0,0.06,Text28,R11,GRA
76,76,70.39,5.61,28.45,1.05,1,-3.99,0.23,0.2,1,73,28,11,5,0.29,0,0.05,Text28,R11,HOL
60,60,51.25,8.75,18.57,2.03,1,-3.59,-0.54,0.47,1,53,10,12,1,-0.54,0,-0.01,Text10,R12,TR
50,50,49.84,0.16,20.15,0.04,1,-1.35,-0.61,0.01,1,53,10,12,2,-0.54,0,0.07,Text10,R12,CC
63,63,54.46,8.54,21.21,1.85,1,-2.54,-0.37,0.4,1,53,10,12,3,-0.54,0,-0.17,Text10,R12,LR
47,47,49.91,-2.91,20.04,-0.65,1,-2.33,-0.61,-0.15,1,53,10,12,4,-0.54,0,0.06,Text10,R12,GRA
58,58,50.14,7.86,19.73,1.77,1,-5.64,-0.59,0.4,1,53,10,12,5,-0.54,0,0.05,Text10,R12,HOL
67,67,65.33,1.67,27.49,0.32,1,-1.8,0.06,0.06,1,63,32,12,1,0.05,0,-0.01,Text32,R12,TR
63,63,63.36,-0.36,26.37,-0.07,1,-1.06,-0.02,-0.01,1,63,32,12,2,0.05,0,0.07,Text32,R12,CC
67,67,70.11,-3.11,28.54,-0.58,1,-1.92,0.22,-0.11,1,73,32,12,3,0.05,0,-0.17,Text32,R12,LR
57,57,63.46,-6.46,26.41,-1.26,1,-2.75,-0.01,-0.24,1,63,32,12,4,0.05,0,0.06,Text32,R12,GRA
61,61,63.77,-2.77,26.54,-0.54,1,-4.23,0,-0.1,1,63,32,12,5,0.05,0,0.05,Text32,R12,HOL
67,67,72.02,-5.02,27.95,-0.95,1,-2.19,0.29,-0.18,1,73,28,12,1,0.29,0,-0.01,Text28,R12,TR
83,83,69.96,13.04,28.59,2.44,1,-4.04,0.22,0.46,1,73,28,12,2,0.29,0,0.07,Text28,R12,CC
83,83,76.78,6.22,29.38,1.15,1,-1.72,0.46,0.21,1,73,28,12,3,0.29,0,-0.17,Text28,R12,LR
83,83,70.06,12.94,28.55,2.42,1,-4,0.22,0.45,1,73,28,12,4,0.29,0,0.06,Text28,R12,GRA
78,78,70.39,7.61,28.45,1.43,1,-5.12,0.23,0.27,1,73,28,12,5,0.29,0,0.05,Text28,R12,HOL
43,43,53.04,-10.04,19.01,-2.3,1,-3.61,-0.44,-0.53,1,53,8,13,1,-0.45,0,-0.01,Text8,R13,TR
40,40,51.69,-11.69,18.37,-2.73,1,-4.59,-0.51,-0.64,1,53,8,13,2,-0.45,0,0.07,Text8,R13,CC
53,53,56.7,-3.7,24.9,-0.74,1,-1.22,-0.27,-0.15,1,53,8,13,3,-0.45,0,-0.17,Text8,R13,LR
53,53,51.76,1.24,18.36,0.29,1,-0.96,-0.51,0.07,1,53,8,13,4,-0.45,0,0.06,Text8,R13,GRA
50,50,51.97,-1.97,18.35,-0.46,1,-1.45,-0.5,-0.11,1,53,8,13,5,-0.45,0,0.05,Text8,R13,HOL
73,73,69.47,3.53,28.71,0.66,1,-1.26,0.2,0.12,1,73,19,13,1,0.2,0,-0.01,Text19,R13,TR
73,73,67.36,5.64,28.62,1.05,1,-1.6,0.13,0.2,1,63,19,13,2,0.2,0,0.07,Text19,R13,CC
67,67,74.19,-7.19,28.12,-1.36,1,-2.67,0.37,-0.26,1,73,19,13,3,0.2,0,-0.17,Text19,R13,LR
60,60,67.47,-7.47,28.66,-1.4,1,-2.76,0.13,-0.26,1,63,19,13,4,0.2,0,0.06,Text19,R13,GRA
60,60,67.8,-7.8,28.74,-1.46,1,-2.85,0.14,-0.27,1,63,19,13,5,0.2,0,0.05,Text19,R13,HOL
73,73,86.61,-13.61,24.45,-2.75,1,-4.43,0.81,-0.56,1,83,26,13,1,0.81,0,-0.01,Text26,R13,TR
73,73,84.76,-11.76,25.9,-2.31,1,-3.5,0.74,-0.45,1,83,26,13,2,0.81,0,0.07,Text26,R13,CC
77,77,90.27,-13.27,18.41,-3.09,1,-5.43,0.98,-0.72,1,93,26,13,3,0.81,0,-0.17,Text26,R13,LR
53,53,51.25,1.75,18.57,0.41,1,-1,-0.54,0.09,1,53,10,14,1,-0.54,0,-0.01,Text10,R14,TR
